ModelFullName,WTC,WTG,Designator,ManufacturerCode,AircraftDescription,EngineCount,EngineType
A-330-700 Beluga XL,H,B,A337,AIRBUS,LandPlane,2,Jet
BD-500 CSeries CS300,M,D,BCS3,BOMBARDIER,LandPlane,2,Jet
Typhoon,M,F,EUFI,EUROFIGHTER,LandPlane,2,Jet
CC-150 Polaris,H,C,A310,AIRBUS,LandPlane,2,Jet
A-300F4-200,H,C,A30B,AIRBUS,LandPlane,2,Jet
A-300F4-600,H,C,A306,AIRBUS,LandPlane,2,Jet
A-300ST Super Transporter,H,C,A3ST,SATIC,LandPlane,2,Jet
A-321,M,D,A321,AIRBUS,LandPlane,2,Jet
A-330-300,H,B,A333,AIRBUS,LandPlane,2,Jet
NC-212 Aviocar,M,G,C212,NUSANTARA,LandPlane,2,Turboprop/Turboshaft
H-160,L,G,H160,AIRBUS HELICOPTERS,Helicopter,2,Turboprop/Turboshaft
EC-635,L,G,EC35,EUROCOPTER,Helicopter,2,Turboprop/Turboshaft
HC-120,L,G,EC20,HARBIN,Helicopter,1,Turboprop/Turboshaft
EC-130,L,G,EC30,EUROCOPTER,Helicopter,1,Turboprop/Turboshaft
LCH,L,G,EC55,KOREA AEROSPACE,Helicopter,2,Turboprop/Turboshaft
EC-725 Cougar Mk2+,M,G,EC25,EUROCOPTER,Helicopter,2,Turboprop/Turboshaft
EC-665 Tigre,L,G,TIGR,EUROCOPTER,Helicopter,2,Turboprop/Turboshaft
Z-15,M,G,EC75,EUROCOPTER-HARBIN,Helicopter,2,Turboprop/Turboshaft
UH-72 Lakota,L,G,EC45,EUROCOPTER-KAWASAKI,Helicopter,2,Turboprop/Turboshaft
VoWi-10,L,G,VW10,WILDEN,LandPlane,1,Piston
Sportster Gyro,L,G,SPGY,AIRCRAFT DESIGNS,Gyrocopter,1,Piston
Super Stallion,L,G,STAL,AIRCRAFT DESIGNS,LandPlane,1,Piston
Turbine Stallion,L,G,STAT,AIRCRAFT DESIGNS,LandPlane,1,Turboprop/Turboshaft
Bushmaster 2000,L,G,BU20,AIRCRAFT HYDRO-FORMING,LandPlane,3,Piston
L-420 Turbolet,L,G,L410,LET,LandPlane,2,Turboprop/Turboshaft
Super Baby Lakes,L,G,BLKS,OLDFIELD,LandPlane,1,Piston
DR-107 One Design,L,G,RODS,RIHN,LandPlane,1,Piston
DR-109 Rhino,L,G,R109,RIHN,LandPlane,1,Piston
V-Witt,L,G,VWIT,WITTMAN,LandPlane,1,Piston
