ModelFullName,WTC,WTG,Designator,ManufacturerCode,AircraftDescription,EngineCount,EngineType
737 MAX 10,M,D,B3XM,BOEING,LandPlane,2,Jet
BTX-1,M,Z,BT7,BOEING,LandPlane,1,Jet
WC-135R,H,C,W135,BOEING,LandPlane,4,Jet
MQ-28 Ghost Bat,L,,Q28,BOEING AUSTRALIA,LandPlane,1,Jet
PBY Catalina,M,G,CAT,CONVAIR,Amphibian,2,Piston
107,M,G,H46,VERTOL,Helicopter,2,Turboprop/Turboshaft
MJ-7 Gnatsum,L,G,MJ7,JURCA,LandPlane,1,Piston
B-606 Mercurey,L,G,B60,BOISAVIA,LandPlane,1,Piston
HU-15,L,G,B105,PADC,Helicopter,2,Turboprop/Turboshaft
BO-209 Monsun,L,G,B209,MESSERSCHMITT-BOLKOW,LandPlane,1,Piston
Kl-107,L,G,KL07,NABERN,LandPlane,1,Piston
CL-600 Challenger 605,M,F,CL60,CANADAIR,LandPlane,2,Jet
BD-700 Global 8000,M,E,GL7T,BOMBARDIER,LandPlane,2,Jet
Sentinel,M,E,GLEX,RAYTHEON,LandPlane,2,Jet
BD-700 Global 5000,M,E,GL5T,BOMBARDIER,LandPlane,2,Jet
CL-600 Regional Jet CRJ-701,M,F,CRJ7,CANADAIR,LandPlane,2,Jet
BD-100 Challenger 3500,M,G,CL35,BOMBARDIER,LandPlane,2,Jet
E-9 Dash 8,M,F,DH8A,DE HAVILLAND CANADA,LandPlane,2,Turboprop/Turboshaft
P-9,M,F,DH8B,DE HAVILLAND CANADA,LandPlane,2,Turboprop/Turboshaft
C-147,M,G,DH8C,DE HAVILLAND CANADA,LandPlane,2,Turboprop/Turboshaft
DHC-8-400 Dash 8,M,E,DH8D,DE HAVILLAND CANADA,LandPlane,2,Turboprop/Turboshaft
UD-13,M,E,CL2T,CANADAIR,Amphibian,2,Turboprop/Turboshaft
BD-100 Challenger 300,M,G,CL30,BOMBARDIER,LandPlane,2,Jet
CL-600 Regional Jet  CRJ-1000,M,F,CRJX,BOMBARDIER,LandPlane,2,Jet
XB-1,L,,XB1,BOOM,LandPlane,3,Jet
Kitty Hawk,L,G,KITH,VIKING (3),LandPlane,1,Piston
Fly Baby 1A,L,G,FB1A,BOWERS,LandPlane,1,Piston
Fly Baby 1B,L,G,FB1B,BOWERS,LandPlane,1,Piston
BA-100 Aerobat,L,G,BBAT,BRADLEY,LandPlane,1,Piston
BX-2 Cherry,L,G,BX2,BRANDLI,LandPlane,1,Piston
305,L,G,B305,BRANTLY,Helicopter,1,Piston
B-2,L,G,BRB2,QINGDAO,Helicopter,1,Piston
HB-3,L,G,HB3,BRDITSCHKA,LandPlane,1,Piston
HB-21 Hobbyliner,L,G,HB21,BRDITSCHKA,LandPlane,1,Piston
HB-23 Scanliner,L,G,HB23,HB-FLUGTECHNIK,LandPlane,1,Piston
S-300,L,G,H269,SIKORSKY,Helicopter,1,Piston
14 Replica,L,G,BR14,BREGUET,LandPlane,1,Piston
1050 Alizé,M,G,ALIZ,BREGUET,LandPlane,1,Turboprop/Turboshaft
Atlantique 2,M,D,ATLA,DASSAULT,LandPlane,2,Turboprop/Turboshaft
149 Bolingbroke,L,G,BLEN,BRISTOL,LandPlane,2,Piston
171 Sycamore,L,G,SYCA,BRISTOL,Helicopter,1,Piston
F-2B Fighter Replica,L,G,BFIT,BRISTOL,LandPlane,1,Piston
61,M,E,ATP,JETSTREAM,LandPlane,2,Turboprop/Turboshaft
IU-93,M,G,H25B,RAYTHEON,LandPlane,2,Jet
Hawker 1000,M,G,H25C,RAYTHEON,LandPlane,2,Jet
BAe-146-100 Statesman,M,F,B461,BRITISH AEROSPACE,LandPlane,4,Jet
BAe-146-200 Statesman,M,F,B462,BRITISH AEROSPACE,LandPlane,4,Jet
BAe-146-300,M,F,B463,BRITISH AEROSPACE,LandPlane,4,Jet
BAe-3100 Jetstream 31,L/M,G,JS31,BRITISH AEROSPACE,LandPlane,2,Turboprop/Turboshaft
BAe-3200 Jetstream Super 31,M,G,JS32,JETSTREAM,LandPlane,2,Turboprop/Turboshaft
BN-2T Turbine Islander,L,G,BN2T,ROMAERO,LandPlane,2,Turboprop/Turboshaft
NG-4,L,G,NG4,ROKO AERO,LandPlane,1,Piston
Bristell XL8,L,G,NG5,BRM AERO,LandPlane,1,Piston
Bristell B23,L,G,BR23,BRM AERO,LandPlane,1,Piston
Bristell B23 Energic,L,G,B23E,BRM AERO,LandPlane,1,Electric
Bristell B8,L,G,BR8,BRM AERO,LandPlane,1,Piston
MB-76,L,,MB70,BROCHET,LandPlane,1,Piston
MB-83,L,,MB80,BROCHET,LandPlane,1,Piston
OA-7 Optica,L,G,OPCA,OPTICA,LandPlane,1,Piston
600,L,G,BR60,BRUMBY,LandPlane,1,Piston
610 Evolution,L,G,BR61,BRUMBY,LandPlane,1,Piston
BAC-204 Ozzie Mozzie,L,G,OZZI,BUCHANAN,LandPlane,1,Piston
Z-183,L,G,BU81,ZLIN,LandPlane,1,Piston
IAR-827 Dacic,L,G,IR27,ICA,LandPlane,1,Piston
Barracuda,L,G,BARC,JEFFAIR,LandPlane,1,Piston
CA-3 Sport Airsedan,L,G,BCA3,BUHL,LandPlane,1,Piston
Zùlù,L,G,ZULU,BUL,LandPlane,1,Piston
M-2 Mustang 2,L,G,MUS2,MUSTANG,LandPlane,1,Piston
MM-1 Midget Mustang,L,G,MIMU,MUSTANG,LandPlane,1,Piston
Golden Butterfly,L,G,GOBU,BUTTERFLY,Gyrocopter,1,Piston
Super Sky Cycle,L,G,SSC,BUTTERFLY,Gyrocopter,1,Piston
eFlyer 2,L,G,EF2,BYE AEROSPACE,LandPlane,1,Electric
CAP-20,L,G,CP20,MUDRY,LandPlane,1,Piston
CP-1330 Super Emeraude,L,G,CP13,SCINTEX,LandPlane,1,Piston
BM-4,L,G,GY20,MARANDA,LandPlane,1,Piston
GY-30 Supercab,L,G,GY30,CAB,LandPlane,1,Piston
423 Free Spirit,L,G,FREE,CABRINHA,LandPlane,1,Piston
Chanute,L,G,CHAN,CADCOR,LandPlane,1,Piston
Toxo,L,G,TOXO,CAG (1),LandPlane,1,Piston
Skytrek,L,G,CRUZ,TRITON,LandPlane,1,Piston
AG-600 Kunlong,M,,AG60,CAIGA,Amphibian,4,Turboprop/Turboshaft
SR-10,L,G,AG10,CIRRUS,LandPlane,1,Piston
A-4,L,G,CLA,CALLAIR,LandPlane,1,Piston
636 Snobird Adventurer,L,G,SNAD,SNOBIRD,Gyrocopter,1,Piston
D-16 Twin Navion,L,G,TNAV,TEMCO,LandPlane,2,Piston
P-51G Grand 51,L,G,GR51,EXCLUSIVE,LandPlane,1,Turboprop/Turboshaft
AN-4,L,G,CAN4,CAMPANA,LandPlane,1,Piston
Griffin,L,G,GRIF,CANADA AIR RV,LandPlane,1,Piston
CV-5800,M,D,CVLT,KELOWNA,LandPlane,2,Turboprop/Turboshaft
TF-104 Starfighter,M,G,F104,LOCKHEED,LandPlane,1,Jet
F-86 Sabre,M,G,F86,NORTH AMERICAN,LandPlane,1,Jet
T-33 T-Bird,M,G,T33,LOCKHEED,LandPlane,1,Jet
CT-114 Tutor,L,G,CL41,CANADAIR,LandPlane,1,Jet
CL-44-O Guppy,M,D,CL4G,CONROY,LandPlane,4,Turboprop/Turboshaft
CL-215,M,E,CL2P,CANADAIR,Amphibian,2,Piston
CL-600 Special Edition,M,F,CRJ2,CANADAIR,LandPlane,2,Jet
CL-600 Regional Jet CRJ-900,M,F,CRJ9,CANADAIR,LandPlane,2,Jet
CL-600 Regional Jet RJ-100,M,F,CRJ1,CANADAIR,LandPlane,2,Jet
Safari,L,G,BABY,CANADIAN HOME ROTORS,Helicopter,1,Piston
Capella,L,G,CAPL,FLIGHTWORKS,LandPlane,1,Piston
T-Raptor,L,G,TRAP,CAPELLA,LandPlane,1,Piston
C-22J Ventura,L,G,C22J,CAPRONI VIZZOLA,LandPlane,2,Jet
Sparrow-ette,L,G,SPR2,CARLSON,LandPlane,1,Piston
PAV-4,L,G,PAV4,CARTER,Gyrocopter,1,Piston
T-36 Aviojet,L,G,C101,INDAER CHILE,LandPlane,1,Jet
He-111,M,G,H111,HEINKEL,LandPlane,2,Piston
223 Flamingo,L,G,S223,SIAT,LandPlane,1,Piston
Ju-52/3m,M,G,JU52,JUNKERS,LandPlane,3,Piston
PA-28R-300 Pillán,L,G,PILL,PIPER,LandPlane,1,Piston
NBK-117,L,G,BK17,NUSANTARA,Helicopter,2,Turboprop/Turboshaft
Fpl53,L,G,DO27,DORNIER,LandPlane,1,Piston
HA-220 Super Saeta,L,G,SATA,HISPANO,LandPlane,2,Jet
Cassutt 3M,L,G,CASS,NATIONAL AERONAUTICS,LandPlane,1,Piston
LMK-1 Oryx,L,G,LMK1,CATA,LandPlane,1,Piston
C-275 Luciole,L,G,C270,CAUDRON,LandPlane,1,Piston
JN-760 Cyclone Replica,L,G,JN76,CAUDRON,LandPlane,1,Piston
G-3 Replica,L,G,CG3,CAUDRON,LandPlane,1,Piston
UC-64 Norseman,L,G,NORS,NOORDUYN,LandPlane,1,Piston
T-6 Harvard,L,G,T6,NORTH AMERICAN,LandPlane,1,Piston
CEA-309 Mehari,L,G,C309,CEA-UFMG,LandPlane,1,Piston
CEA-311 Anequim,L,G,C311,CEA-UFMG,LandPlane,1,Piston
CB-10 Triathlon,L,G,C306,CEA-UFMG,LandPlane,1,Piston
DR-1051 Excellence,L,G,DR10,SAN,LandPlane,1,Piston
DR-250 Capitaine,L,G,D250,CENTRE EST,LandPlane,1,Piston
DR-221 Dauphin,L,G,DR22,CENTRE EST,LandPlane,1,Piston
DR-253 Regent,L,G,D253,CENTRE EST,LandPlane,1,Piston
DR-380 Prince,L,G,DR30,ROBIN,LandPlane,1,Piston
Century Jetstream 3,L,G,JS3,VOLPAR,LandPlane,2,Turboprop/Turboshaft
CE-43 Guepard,L,G,CE43,CERVA,LandPlane,1,Piston
120,L,G,C120,CESSNA,LandPlane,1,Piston
140,L,G,C140,CESSNA,LandPlane,1,Piston
170,L,G,C170,CESSNA,LandPlane,1,Piston
175 Skylark,L,G,C175,CESSNA,LandPlane,1,Piston
177 Cardinal,L,G,C177,CESSNA,LandPlane,1,Piston
U-17C,L,G,C180,CESSNA,LandPlane,1,Piston
162 Skycatcher,L,G,C162,SHENYANG,LandPlane,1,Piston
190,L,G,C190,CESSNA,LandPlane,1,Piston
LC-126,L,G,C195,CESSNA,LandPlane,1,Piston
205,L,G,C205,CESSNA,LandPlane,1,Piston
Turbine 206,L,G,C06T,SOLOY,LandPlane,1,Turboprop/Turboshaft
Turbine 207,L,G,C07T,SOLOY,LandPlane,1,Turboprop/Turboshaft
F207,L,G,C207,REIMS,LandPlane,1,Piston
AC-208 Combat Caravan,L,G,C208,CESSNA,LandPlane,1,Turboprop/Turboshaft
L-19 Bird Dog,L,G,O1,FUJI,LandPlane,1,Piston
T-37,L,G,T37,CESSNA,LandPlane,2,Jet
OA-37 Dragonfly,L,G,A37,CESSNA,LandPlane,2,Jet
Century 600,L,G,C320,COLEMILL,LandPlane,2,Piston
335,L,G,C335,CESSNA,LandPlane,2,Piston
336 Skymaster,L,G,C336,CESSNA,LandPlane,2,Piston
404 Turbo Titan,L,G,C04T,OMNI,LandPlane,2,Turboprop/Turboshaft
404 Titan,L,G,C404,CESSNA,LandPlane,2,Piston
411,L,G,C411,CESSNA,LandPlane,2,Piston
421 Golden Eagle,L,G,C421,CESSNA,LandPlane,2,Piston
425 Corsair,L,G,C425,CESSNA,LandPlane,2,Turboprop/Turboshaft
441 Conquest 2,L,G,C441,CESSNA,LandPlane,2,Turboprop/Turboshaft
500 Citation 1,L,G,C500,CESSNA,LandPlane,2,Jet
501 Citation 1SP,L,G,C501,CESSNA,LandPlane,2,Jet
510 Citation Mustang,L,G,C510,CESSNA,LandPlane,2,Jet
525 CitationJet,L,G,C525,CESSNA,LandPlane,2,Jet
525A Citation CJ2,L,G,C25A,CESSNA,LandPlane,2,Jet
525B Citation CJ3,L,G,C25B,CESSNA,LandPlane,2,Jet
525C Citation CJ4,M,G,C25C,CESSNA,LandPlane,2,Jet
U-20,L,G,C550,CESSNA,LandPlane,2,Jet
551 Citation 2SP,L,G,C551,CESSNA,LandPlane,2,Jet
TR-20,M,G,C560,CESSNA,LandPlane,2,Jet
550B Citation Bravo,L,G,C55B,CESSNA,LandPlane,2,Jet
560XL Citation Ascend,M,G,C56X,TEXTRON,LandPlane,2,Jet
U-21,M,G,C650,CESSNA,LandPlane,2,Jet
680 Citation Sovereign,M,G,C680,CESSNA,LandPlane,2,Jet
750 Citation 10,M,G,C750,CESSNA,LandPlane,2,Jet
UC-78 Bobcat,L,G,T50,CESSNA,LandPlane,2,Piston
AW,L,G,CAW,CESSNA,LandPlane,1,Piston
C-165 Airmaster,L,G,CMAS,CESSNA,LandPlane,1,Piston
DC-6,L,G,CDC6,CESSNA,LandPlane,1,Piston
F406 Vigilant,L,G,F406,REIMS,LandPlane,2,Turboprop/Turboshaft
FT337G Pressurized Skymaster,L,G,P337,REIMS,LandPlane,2,Piston
LC-41 Columbia 400,L,G,COL4,LANCAIR,LandPlane,1,Piston
TU206 Turbo Stationair 6,L,G,T206,CESSNA,LandPlane,1,Piston
T182 Turbo Skylane,L,G,C82S,CESSNA,LandPlane,1,Piston
680A Citation Latitude,M,G,C68A,CESSNA,LandPlane,2,Jet
LC-42 Columbia 350,L,G,COL3,LANCAIR,LandPlane,1,Piston
525 Citation M2,L,G,C25M,CESSNA,LandPlane,2,Jet
T210 Turbo Centurion,L,G,T210,CESSNA,LandPlane,1,Piston
408 SkyCourier,M,G,C408,CESSNA,LandPlane,2,Turboprop/Turboshaft
T240 TTx,L,G,C240,CESSNA,LandPlane,1,Piston
TR182 Turbo Skylane RG,L,G,C82T,CESSNA,LandPlane,1,Piston
700 Citation Longitude,M,G,C700,CESSNA,LandPlane,2,Jet
E350,L,G,E350,CESSNA,LandPlane,1,Turboprop/Turboshaft
E530 Scorpion,M,G,E530,TEXTRON AIRLAND,LandPlane,2,Jet
DART-750,L,G,DT45,DIAMOND,LandPlane,1,Turboprop/Turboshaft
DA-42 Twin Turbo,L,G,DA42,DIAMOND,LandPlane,2,Piston
DV-20 Katana,L,G,DV20,HOAC,LandPlane,1,Piston
SA-2 Star Streak,L,G,STST,CFM,LandPlane,1,Piston
L-44,L,G,L4,CHAIKA,Amphibian,2,Piston
JRC-01 Julcar,L,G,JRC1,CHALARD,LandPlane,1,Piston
402 Lancer,L,G,CH40,CHAMPION,LandPlane,2,Piston
V-166 Corsair,M,G,CORS,VOUGHT-SIKORSKY,LandPlane,1,Piston
F-8 Crusader,M,G,F8,LTV,LandPlane,1,Jet
WZ-10,L,G,WZ10,CHANGHE,Helicopter,2,Turboprop/Turboshaft
LMC-1 Sprintair,L,G,LMC1,CHASLE,LandPlane,1,Piston
YC-123 Tourbillon,L,G,YC12,CHASLE,LandPlane,1,Piston
Sycamore,L,G,CHSY,CHAYAIR,Gyrocopter,1,Piston
J-10,M,G,J10,CHENGDU,LandPlane,1,Jet
JF-17 Thunder,M,G,FC1,PAKISTAN,LandPlane,1,Jet
JJ-5,L,G,MG17,SHENYANG,LandPlane,1,Jet
J-20,M,E,J20,CHENGDU,LandPlane,2,Jet
Che-15,L,G,CE15,CHERNOV,SeaPlane,1,Piston
Che-23,L,G,CE23,CHERNOV,Amphibian,1,Piston
Che-25,L,G,CE25,HYDROPLANE,Amphibian,2,Piston
SA-1 Status,L,G,CE27,STATUS AVIA,Amphibian,2,Piston
DW-1,L,G,CDW1,CHILTON,LandPlane,1,Piston
UC-26 Aztec,L,G,PA27,PIPER,LandPlane,2,Piston
PA-25 Pawnee,L,G,PA25,PIPER,LandPlane,1,Piston
PA-28RT-201 Arrow 4,L,G,P28T,PIPER,LandPlane,1,Piston
PA-31T1-500 Cheyenne 1,L,G,PAY1,PIPER,LandPlane,2,Turboprop/Turboshaft
Mini Coupe,L,G,MCOU,CHRIS TENA,LandPlane,1,Piston
CH-3 Skyjeep,L,G,CH3,CHRISLEA,LandPlane,1,Piston
T-90 Calima,L,G,SNGY,LANCAIR,LandPlane,1,Piston
CH-12,L,G,CH12,CICARE,Helicopter,1,Piston
CH-14 Aguilucho,L,G,CH14,CICARE,Helicopter,1,Turboprop/Turboshaft
Nieuport 12-7/8,L,G,CN12,CIRCA,LandPlane,1,Piston
T-53,L,G,SR20,CIRRUS,LandPlane,1,Piston
SR-22,L,G,SR22,CIRRUS,LandPlane,1,Piston
SR-22 Turbo,L,G,S22T,CIRRUS,LandPlane,1,Piston
SF-50 Vision,L,G,SF50,CIRRUS,LandPlane,1,Jet
VK-30 Cirrus (turbine),L,G,VK3T,CIRRUS,LandPlane,1,Turboprop/Turboshaft
VK-30 Cirrus (piston),L,G,VK3P,CIRRUS,LandPlane,1,Piston
Gavilán,L,G,FOXT,TEAM TANGO,LandPlane,1,Piston
Tiluchi,L,G,TAGO,TEAM TANGO,LandPlane,1,Piston
Bush Caddy L-164,L,G,CAD4,CLASS,LandPlane,1,Piston
Cadi,L,G,CAD2,DELISLE,LandPlane,1,Piston
YMF,L,G,WACF,WACO OHIO,LandPlane,1,Piston
T-18 Tiger,L,G,T18,THORP,LandPlane,1,Piston
CD-2 Seastar,L,G,CD2,CLAUDIUS DORNIER,Amphibian,2,Turboprop/Turboshaft
Spad 13 80%,L,G,ES13,EARLY BIRD,LandPlane,1,Piston
Co-50 Valkyrie,L,G,CO50,COBALT,LandPlane,1,Piston
Arrow,L,G,COAR,COBRA,LandPlane,1,Piston
MC-12 Cricri,L,G,MC10,ZENAIR,LandPlane,2,Piston
MCR-01,L,G,MCR1,DYN'AERO,LandPlane,1,Piston
C-2 Skimmer,L,G,SKIM,COLONIAL,Amphibian,1,Piston
Mascato,L,G,CFRE,COLYAER,Amphibian,1,Piston
Gannet,L,G,CGAN,COLYAER,SeaPlane,1,Piston
Martin 3,L,G,CMA3,COLYAER,LandPlane,1,Piston
C-919,M,D,C919,COMAC,LandPlane,2,Jet
C-909,M,F,AJ27,COMAC,LandPlane,2,Jet
114 Gran Turismo Commander,L,G,AC11,ROCKWELL,LandPlane,1,Piston
CA-19 Boomerang,L,G,CA19,COMMONWEALTH (1),LandPlane,1,Piston
CA-16 Wirraway,L,G,WIRR,COMMONWEALTH (1),LandPlane,1,Piston
P-51 Mustang,L,G,P51,NORTH AMERICAN,LandPlane,1,Piston
CA-25 Winjeel,L,G,CA25,COMMONWEALTH (1),LandPlane,1,Piston
190 Skyranger,L,G,SKYR,REARWIN,LandPlane,1,Piston
CA-12 Comp Air 12,L,G,CA12,COMP AIR,LandPlane,1,Turboprop/Turboshaft
CA-9 Comp Air 9,L,G,CA9,COMP AIR,LandPlane,1,Turboprop/Turboshaft
F-27 Troopship,M,E,F27,FOKKER,LandPlane,2,Turboprop/Turboshaft
S2F Tracker,M,G,S2P,GRUMMAN,LandPlane,2,Piston
TS-2F Turbo Tracker,M,G,S2T,MARSH,LandPlane,2,Turboprop/Turboshaft
C-87 Liberator Express,M,D,B24,CONVAIR,LandPlane,4,Piston
El Tomcat,L,G,ELTO,CONTINENTAL COPTERS,Helicopter,1,Piston
V-74 Valiant,L,G,VALI,VULTEE,LandPlane,1,Piston
VT-29,M,E,CVLP,CONVAIR,LandPlane,2,Piston
L-13 Centaur,L,G,L13,LONGREN,LandPlane,1,Piston
PB4Y Privateer,M,D,P4Y,CONVAIR,LandPlane,4,Piston
CJ-1 Starlet,L,G,CJ1,CORBY,LandPlane,1,Piston
Falcon,L,G,CORO,T & T AVIATION,LandPlane,1,Piston
MA-213 Fusion 213,L,G,FUSI,MAGNUS,LandPlane,1,Piston
CA-41 Racer,L,G,CA41,CORVUS,LandPlane,1,Piston
JC-01,L,G,JC01,COUPE,LandPlane,1,Piston
JC-200,L,G,JC02,COUPE,LandPlane,1,Piston
CozyJet,L,G,COZJ,CO-Z,LandPlane,1,Jet
Dragon Fly,L,G,DRAG,DRAGON FLY,Helicopter,1,Piston
MPA Aerocat SR,L,G,CAT1,CREATIVE FLIGHT,LandPlane,1,Piston
MPA Aerocat TR,L,G,CAT2,CREATIVE FLIGHT,LandPlane,2,Piston
EC-8 Tourisme,L,G,EC6,CROSES,LandPlane,1,Piston
M-6,L,G,MRMD,WET AERO,Amphibian,1,Piston
Parrot,L,G,PROT,CZAW,LandPlane,1,Piston
CSS-13,L,G,PO2,PZL-OKECIE,LandPlane,1,Piston
Eagle X-TS,L,G,EAGX,EAGLE AIRCRAFT,LandPlane,1,Piston
CC-19 XCub,L,G,CC19,CUB CRAFTERS,LandPlane,1,Piston
CCX-2000 Carbon Cub,L,G,CC11,CUB CRAFTERS,LandPlane,1,Piston
MonoCulp,L,G,MOCU,CULP,LandPlane,1,Piston
Sopwith Pup,L,G,CPUP,CULP,LandPlane,1,Piston
Special,L,G,CULP,CULP,LandPlane,1,Piston
Cadet STF,L,G,CUCA,LA FRANCE,LandPlane,1,Piston
V,L,G,CULV,CULVER,LandPlane,1,Piston
Zefhir,L,,ZEFR,CURTI,Helicopter,1,Turboprop/Turboshaft
CW-20 Commando,M,D,C46,CURTISS,LandPlane,2,Piston
P-40 Tomahawk,L,G,P40,CURTISS,LandPlane,1,Piston
50 Robin,L,G,CRBN,CURTISS-ROBERTSON,LandPlane,1,Piston
North Star 6 Galaxie,L,G,NST6,CUSTOM FLIGHT,LandPlane,1,Piston
Lite Star,L,G,LSTR,CUSTOM FLIGHT,LandPlane,1,Piston
North Star,L,G,NSTR,CUSTOM FLIGHT,LandPlane,1,Piston
CA-61 Mini Ace,L,G,CA61,CVJETKOVIC,LandPlane,1,Piston
CA-65 Skyfly,L,G,CA65,CVJETKOVIC,LandPlane,1,Piston
UL-39 Albi,L,G,UL39,CVUT,LandPlane,1,Piston
CH-801 Stol,L,G,CH80,ZENITH,LandPlane,1,Piston
RangeR,L,G,RNGR,DAC,LandPlane,1,Piston
KT-1,L,G,KT1,TAI,LandPlane,1,Turboprop/Turboshaft
TBM-700N (TBM-910),L,G,TBM9,SOCATA,LandPlane,1,Turboprop/Turboshaft
Kodiak 900,L,G,K900,QUEST,LandPlane,1,Turboprop/Turboshaft
Kodiak 100,L,G,K100,QUEST,LandPlane,1,Turboprop/Turboshaft
Fascination,L,G,DAL4,UL-JIH,LandPlane,1,Piston
Evolution,L,G,DAL5,UL-JIH,LandPlane,1,Piston
FR-100 Snap,L,G,SNAP,TECNAM,LandPlane,1,Piston
DFL-6 Saphir,L,G,DFL6,DAMOURE-FABRE,LandPlane,1,Piston
D-201 Sportwing,L,G,D201,D'APUZZO,LandPlane,1,Piston
PJ-260 Senior Aero Sport,L,G,SRAS,D'APUZZO,LandPlane,1,Piston
Vajra,M,G,MIR2,DASSAULT,LandPlane,1,Jet
Mirage F1,M,G,MRF1,DASSAULT,LandPlane,1,Jet
Falcon 100,M,G,FA10,DASSAULT,LandPlane,2,Jet
HU-25 Guardian,M,G,FA20,DASSAULT,LandPlane,2,Jet
Falcon 50,M,G,FA50,DASSAULT,LandPlane,3,Jet
T-18,M,F,F900,DASSAULT,LandPlane,3,Jet
Rafale,M,F,RFAL,DASSAULT,LandPlane,2,Jet
Etendard 4,M,G,ETAR,DASSAULT,LandPlane,1,Jet
Super Mystère B2,M,G,SMB2,DASSAULT,LandPlane,1,Jet
Falcon 7X,M,F,FA7X,DASSAULT,LandPlane,3,Jet
Falcon 2000,M,G,F2TH,DASSAULT,LandPlane,2,Jet
MD-312 Flamant,L,G,FLAM,DASSAULT,LandPlane,2,Piston
MD-454A Mystère 4A,M,G,MYS4,DASSAULT,LandPlane,1,Jet
Falcon 8X,M,F,FA8X,DASSAULT,LandPlane,3,Jet
Falcon 6X,M,F,FA6X,DASSAULT,LandPlane,2,Jet
MD-3 Tiga,L,G,MD3,SME,LandPlane,1,Piston
DA-2,L,G,DA2,DAVIS,LandPlane,1,Piston
DA-5,L,G,DA5,DAVIS,LandPlane,1,Piston
DH-60 Moth,L,G,DH60,DE HAVILLAND AUSTRALIA,LandPlane,1,Piston
DH-80 Puss Moth,L,G,DH80,DE HAVILLAND,LandPlane,1,Piston
DH-82 Tiger Moth,L,G,DH82,OGMA,LandPlane,1,Piston
DH-83 Fox Moth,L,G,DH83,DE HAVILLAND,LandPlane,1,Piston
DH-85 Leopard Moth,L,G,DH85,DE HAVILLAND,LandPlane,1,Piston
DH-87 Hornet Moth,L,G,DH87,DE HAVILLAND,LandPlane,1,Piston
DH-88 Comet Replica,L,G,DH88,DE HAVILLAND,LandPlane,2,Piston
DH-89 Dragon Rapide,L,G,DH89,DE HAVILLAND,LandPlane,2,Piston
DH-90 Dragonfly,L,G,DH90,DE HAVILLAND,LandPlane,2,Piston
DH-94 Moth Minor,L,G,DH94,DE HAVILLAND,LandPlane,1,Piston
DH-98 Mosquito,M,G,MOSQ,DE HAVILLAND,LandPlane,2,Piston
DH-115 Vampire,L,G,VAMP,F+W EMMEN,LandPlane,1,Jet
Executive 400,L,G,DOVE,RILEY,LandPlane,2,Piston
DH-112 Venom,M,G,VNOM,F+W EMMEN,LandPlane,1,Jet
Heron,L,G,HERN,RILEY,LandPlane,4,Piston
DHC-1 Chipmunk,L,G,DHC1,OGMA,LandPlane,1,Piston
DH-84 Dragon,L,G,DH84,DE HAVILLAND AUSTRALIA,LandPlane,2,Piston
DHA-3 Drover,L,G,DHA3,DE HAVILLAND AUSTRALIA,LandPlane,3,Piston
DHC-4 Caribou,M,G,DHC4,DE HAVILLAND CANADA,LandPlane,2,Piston
DHC-5 Buffalo,M,E,DHC5,DE HAVILLAND CANADA,LandPlane,2,Turboprop/Turboshaft
DHC-6 Twin Otter,L,G,DHC6,VIKING (2),LandPlane,2,Turboprop/Turboshaft
DHC-2 Mk3 Turbo Beaver,L,G,DH2T,DE HAVILLAND CANADA,LandPlane,1,Turboprop/Turboshaft
Vazar Dash 3,L,G,DH3T,VARDAX,LandPlane,1,Turboprop/Turboshaft
RC-7 Dash 7,M,E,DHC7,DE HAVILLAND CANADA,LandPlane,4,Turboprop/Turboshaft
DHC-4 Turbo Caribou,M,G,DH4T,DE HAVILLAND CANADA,LandPlane,2,Turboprop/Turboshaft
Sk50 Safir,L,G,SB91,SAAB,LandPlane,1,Piston
DW-200 Whitney Boomerang,L,G,WBOO,DEAN-WILSON,LandPlane,1,Piston
Cobra,L,G,COBR,DEBORDE-ROLLAND,LandPlane,1,Piston
Delfin 2,L,G,DF2,DELFIN,LandPlane,1,Piston
Delfin 3,L,G,DF3,DELFIN,LandPlane,1,Piston
Delfin 10 Karas,L,G,DF10,DELFIN,LandPlane,1,Piston
Delfin 10M R-Line,L,G,DF1M,DELFIN,LandPlane,1,Piston
RD-205 Raid Driver,L,G,RD20,DENIZE,LandPlane,1,Piston
Kitfox,L,G,FOX,SKYSTAR,LandPlane,1,Piston
D-1 Derringer,L,G,D1,WING,LandPlane,2,Piston
D-27,L,G,DWD2,EKW,LandPlane,1,Piston
DA-40 Tundra Star,L,G,DA40,DIAMOND,LandPlane,1,Piston
H-36 Dimona,L,G,DIMO,HOFFMANN,LandPlane,1,Piston
DA-36 E-Star,L,G,DA36,DIAMOND,LandPlane,1,Electric
DA-62,L,G,DA62,DIAMOND,LandPlane,2,Piston
DA-50,L,G,DA50,WANFENG DIAMOND,LandPlane,1,Piston
E-Racer,L,G,ERAC,DICKEY,LandPlane,1,Piston
IA-46 Super Ranquel,L,G,IA46,DINFIA,LandPlane,1,Piston
MS-760 Paris,L,G,MS76,MORANE-SAULNIER,LandPlane,2,Jet
Alto,L,G,ALTO,DIRECT FLY,LandPlane,1,Piston
N-219 Nurtanio,M,G,N219,DIRGANTARA INDONESIA,LandPlane,2,Turboprop/Turboshaft
